seed,ensemble_score,individual_score
10,0.7181208053691275,0.6778523489932886
13,0.5675675675675675,0.5608108108108109
17,0.6644295302013423,0.7181208053691275
6,0.7794871794871795,0.7948717948717948
10,0.8051282051282052,0.8256410256410256
11,0.6756756756756757,0.6621621621621622
5,0.6891891891891891,0.6621621621621622
11,0.8352941176470589,0.8352941176470589
9,0.7948717948717948,0.8205128205128205
20,0.7181208053691275,0.7046979865771812
1,0.697986577181208,0.7248322147651006
19,0.5743243243243243,0.5608108108108109
8,0.6756756756756757,0.6621621621621622
6,0.6845637583892618,0.697986577181208
18,0.6621621621621622,0.6486486486486487
20,0.6756756756756757,0.6351351351351351
20,0.5675675675675675,0.5743243243243243
16,0.841025641025641,0.7948717948717948
2,0.8256410256410256,0.8051282051282052
0,0.8,0.8256410256410256
15,0.8705882352941177,0.8352941176470589
2,0.8705882352941177,0.8235294117647058
5,0.7114093959731543,0.697986577181208
18,0.7948717948717948,0.7487179487179487
9,0.8352941176470589,0.8352941176470589
8,0.8235294117647058,0.8352941176470589
1,0.5608108108108109,0.5675675675675675
10,0.581081081081081,0.581081081081081
18,0.7181208053691275,0.6644295302013423
2,0.581081081081081,0.5675675675675675
15,0.8256410256410256,0.8153846153846154
13,0.7114093959731543,0.7181208053691275
11,0.7046979865771812,0.6845637583892618
12,0.8705882352941177,0.8352941176470589
7,0.7114093959731543,0.7046979865771812
7,0.8235294117647058,0.8352941176470589
11,0.581081081081081,0.5675675675675675
10,0.6486486486486487,0.6891891891891891
19,0.8,0.8051282051282052
7,0.5675675675675675,0.6081081081081081
6,0.8823529411764706,0.8823529411764706
9,0.6756756756756757,0.6351351351351351
17,0.8470588235294118,0.8470588235294118
3,0.8205128205128205,0.8051282051282052
4,0.8307692307692308,0.8358974358974359
6,0.5878378378378378,0.581081081081081
18,0.8352941176470589,0.8941176470588236
13,0.8470588235294118,0.8117647058823529
0,0.8352941176470589,0.8352941176470589
1,0.8205128205128205,0.8358974358974359
9,0.7046979865771812,0.7046979865771812
20,0.8102564102564103,0.8153846153846154
11,0.8102564102564103,0.7948717948717948
14,0.8051282051282052,0.8461538461538461
2,0.6486486486486487,0.6486486486486487
3,0.6486486486486487,0.6621621621621622
20,0.8352941176470589,0.8470588235294118
10,0.8705882352941177,0.8235294117647058
3,0.5202702702702703,0.527027027027027
6,0.6756756756756757,0.6621621621621622
5,0.8153846153846154,0.8307692307692308
5,0.8470588235294118,0.8352941176470589
3,0.7046979865771812,0.697986577181208
17,0.6756756756756757,0.6621621621621622
17,0.5608108108108109,0.5608108108108109
15,0.6891891891891891,0.6486486486486487
0,0.5743243243243243,0.5743243243243243
8,0.5472972972972973,0.527027027027027
16,0.8705882352941177,0.8235294117647058
7,0.8256410256410256,0.8
4,0.6621621621621622,0.6216216216216216
0,0.7181208053691275,0.6644295302013423
4,0.8705882352941177,0.8352941176470589
15,0.7181208053691275,0.6845637583892618
16,0.6756756756756757,0.7027027027027027
19,0.6756756756756757,0.7027027027027027
1,0.8235294117647058,0.8352941176470589
13,0.6621621621621622,0.6486486486486487
19,0.7046979865771812,0.7181208053691275
1,0.6756756756756757,0.6486486486486487
2,0.697986577181208,0.697986577181208
14,0.8823529411764706,0.8235294117647058
3,0.8352941176470589,0.8352941176470589
0,0.6891891891891891,0.6486486486486487
12,0.8102564102564103,0.8051282051282052
14,0.581081081081081,0.527027027027027
5,0.5945945945945946,0.5675675675675675
16,0.7114093959731543,0.697986577181208
12,0.5675675675675675,0.527027027027027
18,0.5675675675675675,0.5945945945945946
4,0.7046979865771812,0.7181208053691275
9,0.581081081081081,0.5202702702702703
17,0.8153846153846154,0.8051282051282052
16,0.5608108108108109,0.5540540540540541
7,0.6621621621621622,0.6891891891891891
19,0.8352941176470589,0.8235294117647058
8,0.8153846153846154,0.8205128205128205
12,0.6621621621621622,0.6621621621621622
4,0.5540540540540541,0.5405405405405406
12,0.697986577181208,0.7181208053691275
13,0.8,0.8
14,0.6756756756756757,0.6756756756756757
8,0.7315436241610739,0.697986577181208
14,0.7046979865771812,0.697986577181208
15,0.5675675675675675,0.527027027027027
