task_id,seed,unweighted_ensemble,weighted_ensemble,individual
359956,11,0.8767772511848341,0.8815165876777251,0.8578199052132701
359955,10,0.7733333333333333,0.7933333333333333,0.7866666666666666
2073,10,0.6060606060606061,0.6127946127946128,0.6094276094276094
359957,11,0.9629629629629628,0.9629629629629628,0.9537037037037036
190137,7,0.9388560157790928,0.95069033530572,0.9467455621301776
359958,12,0.9212328767123288,0.9246575342465754,0.9246575342465754
359963,7,0.9134199134199136,0.9155844155844156,0.9242424242424242
359959,13,0.5288135593220339,0.5186440677966102,0.5288135593220339
2073,17,0.6094276094276094,0.6397306397306397,0.6094276094276094
359963,4,0.9437229437229436,0.9415584415584416,0.9523809523809524
168784,10,0.781491002570694,0.8097686375321337,0.8071979434447301
359955,12,0.7666666666666667,0.7866666666666666,0.7866666666666666
359968,9,0.92,0.968,0.953
168911,15,0.7956448911222781,0.8090452261306532,0.8174204355108877
168757,19,0.765,0.78,0.75
190146,11,0.8117647058823529,0.8411764705882353,0.8294117647058824
190137,0,0.940828402366864,0.9487179487179488,0.9368836291913216
359956,13,0.8672985781990521,0.8815165876777251,0.8720379146919431
146818,9,0.8478260869565217,0.855072463768116,0.8260869565217391
146818,15,0.8768115942028986,0.8695652173913043,0.8405797101449275
168784,9,0.7480719794344473,0.8251928020565553,0.8226221079691517
2073,20,0.6262626262626263,0.6026936026936027,0.6026936026936027
359965,2,0.984375,0.996875,0.996875
359972,7,0.9307317073170732,0.9434146341463414,0.9482926829268292
2073,1,0.6161616161616161,0.6094276094276094,0.5959595959595959
359974,11,0.6438775510204081,0.6969387755102041,0.686734693877551
359959,19,0.5864406779661017,0.5661016949152542,0.5728813559322034
359958,18,0.9041095890410958,0.9041095890410958,0.9075342465753424
359972,10,0.926829268292683,0.9395121951219512,0.9395121951219512
359955,3,0.76,0.7533333333333333,0.7466666666666667
359957,14,0.9675925925925926,0.9722222222222222,0.9722222222222222
359972,9,0.9395121951219512,0.946341463414634,0.9482926829268292
359971,4,0.9620081411126188,0.9796472184531886,0.9769335142469472
359965,14,0.984375,0.996875,0.9953125
359964,0,0.9592476489028212,0.963949843260188,0.962382445141066
359958,6,0.928082191780822,0.928082191780822,0.928082191780822
168911,12,0.8207705192629816,0.8425460636515912,0.8375209380234506
168911,17,0.8190954773869347,0.830820770519263,0.8241206030150754
359975,11,0.9941176470588236,0.9950980392156864,0.9931372549019608
359955,6,0.7666666666666667,0.7733333333333333,0.8066666666666666
359956,2,0.8578199052132701,0.8578199052132701,0.8625592417061612
146818,19,0.9130434782608696,0.9057971014492754,0.8768115942028986
359964,18,0.974921630094044,0.9733542319749215,0.9670846394984326
359957,2,0.9398148148148148,0.9444444444444444,0.9537037037037036
359971,8,0.9611035730438716,0.9778380823156942,0.9760289461782
359955,20,0.7733333333333333,0.8133333333333334,0.8133333333333334
2073,6,0.5757575757575758,0.5824915824915825,0.5824915824915825
168350,19,0.8418131359851989,0.9222941720629048,0.9259944495837188
359956,9,0.8672985781990521,0.8815165876777251,0.8578199052132701
359959,20,0.5389830508474577,0.511864406779661,0.5254237288135594
359968,15,0.916,0.961,0.961
359963,20,0.9307359307359307,0.9307359307359307,0.9329004329004328
168911,20,0.8056951423785594,0.8224455611390284,0.8291457286432161
168784,16,0.7660668380462725,0.8123393316195373,0.8020565552699229
359965,20,0.9796875,0.9921875,0.9953125
359972,2,0.935609756097561,0.9560975609756096,0.953170731707317
168784,2,0.7506426735218509,0.7969151670951157,0.794344473007712
359957,20,0.949074074074074,0.9444444444444444,0.9398148148148148
168757,11,0.775,0.78,0.775
359964,5,0.9608150470219436,0.9608150470219436,0.957680250783699
190411,11,0.8530120481927711,0.8614457831325302,0.8662650602409638
359958,0,0.9006849315068494,0.9006849315068494,0.9178082191780822
146820,9,0.9462809917355371,0.9886363636363636,0.984504132231405
190137,4,0.9388560157790928,0.9467455621301776,0.9467455621301776
168911,11,0.8107202680067002,0.8157453936348409,0.8056951423785594
359974,2,0.639795918367347,0.7040816326530612,0.7030612244897959
359962,15,0.8578199052132701,0.8696682464454977,0.8649289099526066
168784,0,0.7660668380462725,0.8174807197943444,0.8251928020565553
190146,15,0.8,0.8411764705882353,0.8588235294117647
359972,6,0.9365853658536586,0.9648780487804878,0.9570731707317072
168350,17,0.818686401480111,0.906567992599445,0.902867715078631
359955,18,0.7733333333333333,0.8,0.8066666666666666
190411,4,0.891566265060241,0.8903614457831325,0.8831325301204819
2073,5,0.5892255892255892,0.569023569023569,0.5993265993265994
359956,19,0.90521327014218,0.8862559241706162,0.8672985781990521
168784,18,0.7377892030848329,0.7917737789203085,0.7892030848329049
359971,15,0.9629127091813658,0.9773857982813208,0.9746720940750792
359962,4,0.8507109004739336,0.8459715639810427,0.8483412322274881
