task id,run #,ensemble_5000,ensemble_70
359959,18,0.5525423728813559,0.5627118644067797
359956,13,0.8578199052132701,0.8767772511848341
146820,10,0.9865702479338844,0.9886363636363636
190411,7,0.8734939759036144,0.8674698795180723
190411,10,0.4614457831325301,0.846987951807229
146818,17,0.8768115942028986,0.8913043478260869
2073,1,0.6094276094276094,0.6195286195286195
190146,8,0.8235294117647058,0.8235294117647058
359955,11,0.8133333333333334,0.8133333333333334
359958,10,0.9041095890410958,0.9041095890410958
190146,12,0.8,0.8176470588235294
146818,14,0.8623188405797102,0.8405797101449275
146818,2,0.8768115942028986,0.8985507246376812
190411,5,0.8590361445783132,0.8590361445783132
190411,14,0.863855421686747,0.8662650602409638
168784,17,0.7712082262210797,0.7892030848329049
146820,8,0.9865702479338844,0.984504132231405
146820,14,0.9855371900826446,0.9896694214876032
190411,15,0.8590361445783132,0.8554216867469879
146820,5,0.9917355371900828,0.9907024793388428
146820,1,0.9865702479338844,0.9865702479338844
146818,8,0.8623188405797102,0.8695652173913043
359956,6,0.8957345971563981,0.9004739336492891
168784,0,0.8226221079691517,0.8251928020565553
190411,18,0.8650602409638555,0.8771084337349397
359956,8,0.8720379146919431,0.8720379146919431
359956,10,0.8483412322274881,0.8483412322274881
146818,11,0.8985507246376812,0.8768115942028986
359959,5,0.5457627118644067,0.5932203389830508
359959,12,0.5457627118644067,0.5525423728813559
2073,8,0.6060606060606061,0.6161616161616161
168784,4,0.7660668380462725,0.8149100257069408
359955,10,0.7933333333333333,0.7933333333333333
359955,13,0.7733333333333333,0.7666666666666667
359956,9,0.8862559241706162,0.8720379146919431
359958,14,0.9075342465753424,0.9178082191780822
359956,20,0.9004739336492891,0.909952606635071
359958,7,0.9246575342465754,0.9246575342465754
168784,18,0.794344473007712,0.7892030848329049
168784,15,0.7994858611825193,0.794344473007712
359959,9,0.5559322033898305,0.5830508474576271
146820,3,0.9803719008264464,0.9824380165289256
2073,7,0.6195286195286195,0.6195286195286195
359959,2,0.5050847457627119,0.5050847457627119
2073,5,0.531986531986532,0.5925925925925926
359955,19,0.7533333333333333,0.78
359958,20,0.8938356164383562,0.9006849315068494
146820,17,0.9907024793388428,0.9896694214876032
168784,5,0.7866323907455013,0.7609254498714653
359958,19,0.9178082191780822,0.9178082191780822
168784,9,0.8071979434447301,0.8071979434447301
359959,16,0.5152542372881356,0.576271186440678
168784,6,0.8123393316195373,0.8200514138817481
146820,2,0.9886363636363636,0.9886363636363636
190146,14,0.8235294117647058,0.8352941176470589
359955,7,0.8,0.8
146818,16,0.8768115942028986,0.8768115942028986
359955,9,0.7666666666666667,0.8066666666666666
359955,6,0.8266666666666667,0.7933333333333333
2073,4,0.5521885521885522,0.5723905723905723
190146,20,0.8588235294117647,0.8411764705882353
359956,17,0.8957345971563981,0.8672985781990521
146818,1,0.8985507246376812,0.8478260869565217
359959,4,0.5525423728813559,0.5254237288135594
146818,19,0.9130434782608696,0.9057971014492754
190411,2,0.8542168674698796,0.8602409638554217
190146,2,0.8529411764705882,0.8529411764705882
359958,9,0.9178082191780822,0.9075342465753424
190146,13,0.8470588235294118,0.8294117647058824
359959,0,0.5525423728813559,0.5796610169491525
146818,13,0.8115942028985508,0.8188405797101449
359956,4,0.8672985781990521,0.8530805687203792
146818,0,0.855072463768116,0.8623188405797102
359956,19,0.8767772511848341,0.90521327014218
146818,15,0.855072463768116,0.8985507246376812
359958,4,0.9246575342465754,0.9178082191780822
190411,13,0.8746987951807229,0.8746987951807229
359955,0,0.7533333333333333,0.7533333333333333
359958,17,0.9178082191780822,0.9178082191780822
359956,12,0.8767772511848341,0.8909952606635071
190411,12,0.8674698795180723,0.8566265060240964
146818,12,0.8260869565217391,0.8478260869565217
359955,20,0.78,0.8466666666666667
359959,15,0.5016949152542373,0.4847457627118644
190146,16,0.8294117647058824,0.8588235294117647
190411,6,0.863855421686747,0.8674698795180723
359955,17,0.7466666666666667,0.7666666666666667
168784,20,0.7609254498714653,0.7634961439588689
359958,3,0.9041095890410958,0.9006849315068494
190411,1,0.8662650602409638,0.8614457831325302
359958,11,0.928082191780822,0.910958904109589
359955,3,0.7533333333333333,0.7466666666666667
359959,7,0.5559322033898305,0.5661016949152542
146820,20,0.9927685950413224,0.993801652892562
359955,2,0.82,0.8
359959,13,0.5254237288135594,0.5254237288135594
146820,16,0.9886363636363636,0.9886363636363636
190146,0,0.8470588235294118,0.8470588235294118
168784,19,0.7840616966580977,0.8097686375321337
359959,20,0.5220338983050847,0.5254237288135594
146820,12,0.9896694214876032,0.9886363636363636
359955,16,0.7866666666666666,0.7866666666666666
146820,6,0.984504132231405,0.984504132231405
359956,15,0.8720379146919431,0.8578199052132701
359956,18,0.8672985781990521,0.8862559241706162
359958,2,0.9041095890410958,0.9075342465753424
