task id,run #,ensemble_5000,ensemble_70
190137,13,0.8431578947368421,0.9084210526315788
146820,10,0.993743701713134,0.99617903930131
190411,7,0.9246328105551406,0.9239248817525516
190137,16,0.9161842105263158,0.9321052631578948
359960,13,0.9992483753995244,0.9999538576074146
190411,10,0.9024069579288024,0.9099919093851132
359974,4,0.852488119940957,0.8785027387960538
359968,18,0.8975222714850685,0.8980919591476151
2073,1,0.8555201008702331,0.8898297816789447
359955,11,0.7585282651072125,0.7746101364522417
359962,6,0.8301874595992242,0.8357897004955829
359958,10,0.9328342013888888,0.9416232638888888
359975,12,0.9869320066334992,0.9950248756218903
359962,18,0.8306614953673778,0.8503770739064856
359960,11,1.0,1.0
190411,5,0.9173512571570824,0.9183548045805328
2073,14,0.8741882578156023,0.8870886258265683
190411,14,0.9323889096340554,0.9342793129200896
359975,3,0.9985406301824212,0.9986733001658376
168784,17,0.9587943825608336,0.9686549519602616
359960,8,1.0,1.0
146820,8,0.9922741014444072,0.9953392677191804
359974,6,0.7377632181692201,0.8789757148092082
146820,14,0.9982994625461874,0.9985513940208264
190411,15,0.9199884864326612,0.9221433905899924
359960,5,1.0,1.0
146820,5,0.9981315082297616,0.9974386966745044
190411,16,0.9169467264127458,0.9191794249439882
146820,1,0.9966409136714814,0.997396708095398
359968,2,0.9232820614437042,0.920623519018486
359974,3,0.8552767362439615,0.8961401001832623
359962,2,0.8366300366300367,0.8380521439344969
359968,7,0.8928078996689206,0.898768979268323
359974,18,0.8357948905241724,0.8553623204457667
359968,11,0.7676871506534895,0.94007546297443
168784,0,0.968482344658966,0.9734500416446984
359962,7,0.7707821590174533,0.7688860159448394
359960,4,1.0,1.0
359962,3,0.8489980607627667,0.8460245636716226
190411,18,0.9265465521533482,0.9279235125715708
359975,14,0.9951575456053068,0.997943615257048
2073,8,0.905051999988256,0.9199910170298584
168784,4,0.9621927277204148,0.9655390225663206
359975,10,0.9626533996683252,0.9911774461028192
359974,12,0.7608943718734152,0.8680111716143172
359974,7,0.7902080176350532,0.8591421667129324
359955,10,0.7528021442495128,0.7691276803118908
359955,13,0.755238791423002,0.7367202729044834
359958,14,0.9607204861111108,0.9576822916666666
359960,12,0.9966201590564876,0.9999275817119684
359958,7,0.9236111111111112,0.9363064236111112
168784,18,0.9643922732076352,0.9691868081828094
168784,15,0.9654459654195434,0.9662280791095432
146820,3,0.9795305676855894,0.9870885119247564
359968,20,0.9309109223160692,0.9318604017536471
2073,7,0.8678652898963659,0.8902500006296364
