task_id,seed,weighted_ensemble,individual
359956,11,0.8720379146919431,0.8767772511848341
359955,10,0.7866666666666666,0.78
2073,10,0.6161616161616161,0.5993265993265994
190411,3,0.8783132530120482,0.8939759036144578
359957,11,0.9675925925925926,0.949074074074074
190137,7,0.9467455621301776,0.9368836291913216
359963,3,0.9545454545454546,0.9567099567099568
359958,12,0.9246575342465754,0.9212328767123288
359963,7,0.9285714285714286,0.9285714285714286
359959,13,0.5186440677966102,0.4983050847457627
2073,17,0.6060606060606061,0.6195286195286195
168911,9,0.8107202680067002,0.8241206030150754
168784,6,0.8226221079691517,0.8277634961439588
359963,4,0.9437229437229436,0.948051948051948
168784,10,0.8046272493573264,0.8277634961439588
359955,12,0.7866666666666666,0.7666666666666667
359968,9,0.961,0.963
168911,15,0.8107202680067002,0.8224455611390284
168911,14,0.8458961474036851,0.8274706867671692
168757,19,0.755,0.765
190146,11,0.8529411764705882,0.8294117647058824
190137,0,0.9467455621301776,0.9368836291913216
359956,13,0.8672985781990521,0.8767772511848341
146818,9,0.8695652173913043,0.8478260869565217
146818,15,0.8913043478260869,0.8623188405797102
168784,9,0.8354755784061697,0.8123393316195373
2073,20,0.622895622895623,0.5993265993265994
359971,9,0.9701492537313432,0.965174129353234
359974,10,0.6836734693877551,0.6857142857142857
359965,2,0.990625,0.9953125
359972,7,0.944390243902439,0.942439024390244
2073,1,0.6127946127946128,0.6363636363636364
168911,19,0.8274706867671692,0.8224455611390284
359974,11,0.7030612244897959,0.6857142857142857
359971,13,0.9719583898688376,0.9696969696969696
359959,19,0.5830508474576271,0.5728813559322034
359958,18,0.9006849315068494,0.9075342465753424
359972,10,0.9404878048780488,0.9365853658536586
359955,3,0.7466666666666667,0.72
359957,14,0.9675925925925926,0.9537037037037036
359972,9,0.951219512195122,0.9541463414634146
359971,4,0.9773857982813208,0.9773857982813208
359965,14,0.996875,0.9953125
359964,0,0.9655172413793104,0.957680250783699
359958,6,0.9315068493150684,0.928082191780822
168911,12,0.847571189279732,0.8358458961474037
168911,17,0.8291457286432161,0.8241206030150754
359975,11,0.9941176470588236,0.9931372549019608
359972,14,0.9570731707317072,0.9580487804878048
359955,6,0.7866666666666666,0.8
359956,2,0.8483412322274881,0.8483412322274881
146818,19,0.8695652173913043,0.9057971014492754
359964,18,0.9670846394984326,0.9670846394984326
359957,2,0.9444444444444444,0.9305555555555556
359971,8,0.9719583898688376,0.9733152419719584
359955,20,0.7866666666666666,0.7933333333333333
2073,6,0.5925925925925926,0.6026936026936027
168350,19,0.9195189639222942,0.9259944495837188
359956,9,0.8862559241706162,0.8578199052132701
359959,20,0.535593220338983,0.5457627118644067
359955,19,0.7533333333333333,0.7533333333333333
359968,15,0.966,0.96
359963,20,0.9307359307359307,0.9307359307359307
168911,20,0.8274706867671692,0.8123953098827471
168784,16,0.8123393316195373,0.8123393316195373
359965,20,0.9953125,0.9953125
359972,2,0.9502439024390243,0.9521951219512196
168784,2,0.7969151670951157,0.794344473007712
359957,20,0.949074074074074,0.9398148148148148
168757,11,0.79,0.78
359964,5,0.963949843260188,0.9545454545454546
190411,11,0.8602409638554217,0.8674698795180723
359958,0,0.9041095890410958,0.910958904109589
146820,9,0.9886363636363636,0.9896694214876032
190137,4,0.95069033530572,0.9526627218934912
168911,11,0.8107202680067002,0.8006700167504187
359974,2,0.7020408163265306,0.6969387755102041
359962,15,0.8672985781990521,0.8696682464454977
168784,0,0.8329048843187661,0.8097686375321337
190146,15,0.8352941176470589,0.8588235294117647
190146,2,0.8588235294117647,0.8529411764705882
359972,6,0.9639024390243902,0.9541463414634146
359968,20,0.968,0.96
168350,17,0.9037927844588344,0.912118408880666
359955,18,0.8,0.7733333333333333
190411,4,0.8795180722891566,0.8867469879518072
2073,5,0.5791245791245792,0.5993265993265994
359956,19,0.8862559241706162,0.8672985781990521
168784,18,0.781491002570694,0.7840616966580977
359971,15,0.9773857982813208,0.9742198100407056
359962,4,0.8459715639810427,0.8578199052132701
190137,8,0.940828402366864,0.9368836291913216
359975,12,0.9892156862745098,0.9882352941176472
168757,6,0.73,0.7
359964,9,0.9702194357366772,0.962382445141066
359956,10,0.8530805687203792,0.8530805687203792
359971,7,0.971506105834464,0.9678878335594754
359972,13,0.9453658536585364,0.944390243902439
359962,6,0.8744075829383886,0.8744075829383886
359958,1,0.9075342465753424,0.9143835616438356
359964,19,0.9561128526645768,0.9529780564263324
359968,8,0.976,0.96
359975,7,0.9931372549019608,0.9941176470588236
359971,11,0.9760289461782,0.9724106739032112
359974,15,0.6989795918367347,0.6877551020408164
190146,9,0.8176470588235294,0.8705882352941177
190411,15,0.8590361445783132,0.8554216867469879
359971,12,0.9719583898688376,0.9710538218000904
359974,0,0.6959183673469388,0.689795918367347
190146,8,0.8176470588235294,0.8411764705882353
168350,18,0.9000925069380203,0.9111933395004626
359959,1,0.5728813559322034,0.5525423728813559
146820,13,0.987603305785124,0.9886363636363636
359962,0,0.8720379146919431,0.8601895734597157
190137,12,0.9428007889546351,0.9368836291913216
359957,5,0.9537037037037036,0.9398148148148148
168350,6,0.904717853839038,0.91581868640148
359968,6,0.971,0.97
359959,10,0.5830508474576271,0.5525423728813559
359968,16,0.971,0.962
359962,2,0.8601895734597157,0.8672985781990521
2073,18,0.632996632996633,0.6397306397306397
359963,18,0.9393939393939394,0.9393939393939394
146818,16,0.8768115942028986,0.8695652173913043
359968,17,0.969,0.954
146820,7,0.9917355371900828,0.987603305785124
359962,7,0.8625592417061612,0.8293838862559242
359959,2,0.4949152542372881,0.5084745762711864
168784,15,0.8020565552699229,0.7917737789203085
168350,7,0.9287696577243292,0.9343200740055504
359972,4,0.953170731707317,0.9580487804878048
2073,13,0.6195286195286195,0.622895622895623
168350,5,0.904717853839038,0.8973172987974098
359957,3,0.9814814814814816,0.9629629629629628
359958,3,0.910958904109589,0.9006849315068494
190411,0,0.8493975903614458,0.8493975903614458
168350,3,0.910268270120259,0.902867715078631
168757,3,0.775,0.75
359974,16,0.6704081632653062,0.673469387755102
359955,9,0.78,0.7933333333333333
146818,3,0.8333333333333334,0.855072463768116
359962,12,0.8649289099526066,0.8720379146919431
359963,13,0.9523809523809524,0.9523809523809524
146820,20,0.9917355371900828,0.9865702479338844
359963,19,0.9415584415584416,0.9393939393939394
168757,10,0.75,0.76
359972,0,0.9590243902439024,0.9629268292682926
168757,0,0.79,0.775
2073,11,0.5959595959595959,0.5892255892255892
359956,4,0.8625592417061612,0.8767772511848341
168911,0,0.8207705192629816,0.8174204355108877
359974,17,0.676530612244898,0.6775510204081633
359962,18,0.8530805687203792,0.8672985781990521
359975,18,0.9950980392156864,0.9941176470588236
146820,12,0.987603305785124,0.987603305785124
359965,1,0.99375,0.9953125
359975,17,0.9931372549019608,0.9931372549019608
146820,19,0.9917355371900828,0.9907024793388428
168350,11,0.913968547641073,0.912118408880666
168911,18,0.8257956448911222,0.8257956448911222
168350,8,0.9130434782608696,0.9185938945420906
168350,15,0.9195189639222942,0.9222941720629048
190146,12,0.8058823529411765,0.7647058823529411
359956,12,0.8862559241706162,0.8767772511848341
359957,13,0.9583333333333334,0.9583333333333334
359965,13,0.9984375,0.9984375
2073,7,0.6296296296296297,0.6161616161616161
190137,16,0.9428007889546351,0.9428007889546351
359962,20,0.8720379146919431,0.8791469194312796
190146,7,0.8117647058823529,0.8176470588235294
359972,3,0.9551219512195122,0.9473170731707315
359965,4,0.996875,0.996875
146820,8,0.984504132231405,0.9834710743801652
359956,0,0.8341232227488151,0.8672985781990521
359959,11,0.5830508474576271,0.5728813559322034
359964,12,0.9670846394984326,0.9655172413793104
359958,7,0.9143835616438356,0.910958904109589
359958,17,0.9143835616438356,0.910958904109589
146820,6,0.9834710743801652,0.9855371900826446
359968,13,0.971,0.964
359957,16,0.949074074074074,0.8935185185185185
359972,8,0.96,0.9629268292682926
359956,15,0.8672985781990521,0.8483412322274881
359962,1,0.8696682464454977,0.8696682464454977
168757,5,0.755,0.76
359957,1,0.9675925925925926,0.9675925925925926
359955,14,0.82,0.78
359955,11,0.7733333333333333,0.7666666666666667
359968,2,0.966,0.957
190137,19,0.9388560157790928,0.9447731755424064
146818,6,0.8695652173913043,0.8623188405797102
359972,20,0.9629268292682926,0.9609756097560976
359974,3,0.6775510204081633,0.6755102040816326
146818,12,0.8333333333333334,0.855072463768116
359972,12,0.9590243902439024,0.9590243902439024
359955,2,0.8333333333333334,0.7866666666666666
146818,7,0.8695652173913043,0.8478260869565217
146820,18,0.9865702479338844,0.987603305785124
359962,5,0.8649289099526066,0.8649289099526066
